,link,text,date,user,likes,quotes,retweets,comments
0,https://twitter.com/MrBeast/status/1523674759925760000#m,No takesies backsies,"May 9, 2022 · 2:42 PM UTC",MrBeast,1313583,12831,70067,50709
1,https://twitter.com/MrBeast/status/1802008951946727605#m,Just uploaded the most insane video we’ve ever done.. go watch!,"Jun 15, 2024 · 4:03 PM UTC",MrBeast,39882,203,1726,2448
2,https://twitter.com/MrBeast/status/1801696863994974284#m,The sets are so insane they don’t even look real 😂,"Jun 14, 2024 · 7:23 PM UTC",MrBeast,12098,16,303,540
3,https://twitter.com/MrBeast/status/1801695966589853896#m,Tomorrow’s video is something I’ve been working on for years.. an obstacle course in the sky lol,"Jun 14, 2024 · 7:19 PM UTC",MrBeast,37299,149,1586,1791
4,https://twitter.com/MrBeast/status/1801301285788168379#m,"I don’t think a YouTube channel has ever gained over 20,000,000 subscribers in a month before 😮","Jun 13, 2024 · 5:11 PM UTC",MrBeast,115631,457,4666,5187
5,https://twitter.com/MrBeast/status/1800275692107465059#m,I know it might be obvious but I want all of you to know I appreciate you. The life I’m living is the one I dreamed of every night as a kid and I’m very grateful you all watch my content ❤️,"Jun 10, 2024 · 9:15 PM UTC",MrBeast,145857,528,6513,6322
6,https://twitter.com/MrBeast/status/1798875962920362270#m,I Buried Myself Alive For A Week! Enjoy watching me suffer,"Jun 7, 2024 · 12:33 AM UTC",MrBeast,110516,1527,6289,4956
7,https://twitter.com/MrBeast/status/1798465522008252438#m,Just filmed our biggest video ever..,"Jun 5, 2024 · 9:22 PM UTC",MrBeast,498813,11266,26112,12602
8,https://twitter.com/MrBeast/status/1797256546541289682#m,Yesterday was the most subscribers we’ve ever gotten in a day 😮,"Jun 2, 2024 · 1:18 PM UTC",MrBeast,94444,236,2153,2118
9,https://twitter.com/MrBeast/status/1797057918153499065#m,After 6 years we have finally avenged Pewdiepie 🥹,"Jun 2, 2024 · 12:09 AM UTC",MrBeast,893849,6192,58776,16214
10,https://twitter.com/MrBeast/status/1796946455317340349#m,"I gave two strangers $10,000 everyday they survived in the wilderness (that’s $3,650,000 a year)  It’s our best video we’ve ever made, go see how long they survived! :D","Jun 1, 2024 · 4:46 PM UTC",MrBeast,88661,420,3674,4510
11,https://twitter.com/MrBeast/status/1796631483798503427#m,,"May 31, 2024 · 7:55 PM UTC",MrBeast,99963,86,2187,1072
12,https://twitter.com/MrBeast/status/1796616723455484135#m,👀,"May 31, 2024 · 6:56 PM UTC",MrBeast,422058,1669,14498,8019
13,https://twitter.com/MrBeast/status/1795545213877829831#m,We also created a chrome extension that will automatically show you cool data for whatever video you’re watching to the right of it :D  Install it now! - https://chromewebstore.google.com/detail/viewstats-youtube-video-c/licaccaeplhkahfkoighjblahbnafadl,"May 28, 2024 · 7:58 PM UTC",MrBeast,10212,22,525,537
14,https://twitter.com/MrBeast/status/1795543620595925476#m,"I created a website Viewstats where you can see views, subs, and any advanced data you’d want for any YouTube channel or video! I believe knowledge is power and I want to help creators of all sizes improve their YouTube performance!  Check it out - https://www.viewstats.com","May 28, 2024 · 7:52 PM UTC",MrBeast,45147,526,3507,2829
15,https://twitter.com/MrBeast/status/1792332656429940869#m,"I put two people who had never met before in a room and gave them $500,000 if they stayed for 100 days!","May 19, 2024 · 11:12 PM UTC",MrBeast,218115,9264,21912,12367
