,link,text,user,likes,quotes,retweets,comments
0,https://twitter.com/myogiadityanath/status/1803098733569089558#m,"देवि सुरेश्वरि भगवति गङ्गे त्रिभुवनतारिणि तरलतरङ्गे। शङ्करमौलिविहारिणि विमले मम मतिरास्तां तव पदकमले॥  माँ गंगा की कृपा हम सभी पर बनी रहे, यही प्रार्थना है।",Yogi Adityanath,1146,4,219,40
1,https://twitter.com/myogiadityanath/status/1803094651244539968#m,"काशी एक ऐसी नगरी बनी है, जिसने सारी दुनिया को दिखाया है कि हेरिटेज सिटी भी अर्बन डेवलपमेंट का नया अध्याय लिख सकती है: आदरणीय प्रधानमंत्री श्री @narendramodi जी",Yogi Adityanath,687,2,162,41
2,https://twitter.com/myogiadityanath/status/1803094179154739663#m,मेरा तो सपना है कि दुनिया की हर डाइनिंग टेबल पर भारत का कोई न कोई खाद्यान्न या फूड प्रोडक्ट होना ही चाहिए: आदरणीय प्रधानमंत्री श्री @narendramodi जी,Yogi Adityanath,1076,2,231,50
3,https://twitter.com/myogiadityanath/status/1803093288095768769#m,"सरकार बनते ही सबसे पहला फैसला, किसान और गरीब परिवारों से जुड़ा फैसला लिया गया है।  देश भर में गरीब परिवारों के लिए 3 करोड़ नए घर बनाने हों या फिर 'पीएम किसान सम्मान निधि' को आगे बढ़ाना हो, ये फैसले करोड़ों-करोड़ों लोगों की मदद करेंगे: आदरणीय प्रधानमंत्री श्री @narendramodi जी",Yogi Adityanath,607,2,145,48
4,https://twitter.com/myogiadityanath/status/1803091936363864437#m,"मैं दिन-रात ऐसे ही मेहनत करूंगा। आपके सपनों को पूरा करने के लिए, आपके संकल्पों को पूरा करने के लिए मैं हर प्रयास करूंगा: आदरणीय प्रधानमंत्री श्री @narendramodi जी",Yogi Adityanath,1461,5,316,75
5,https://twitter.com/myogiadityanath/status/1803090933178683794#m,"बाबा विश्वनाथ और माँ गंगा के आशीर्वाद से, काशी वासियों के असीम स्नेह से मुझे तीसरी बार देश का प्रधान सेवक बनने का सौभाग्य मिला है: आदरणीय प्रधानमंत्री श्री @narendramodi जी",Yogi Adityanath,1236,2,306,48
6,https://twitter.com/narendramodi/status/1803088352670806521#m,"Witnessing the Ganga Aarti in Kashi is a mesmerizing experience. The beauty of the sacred Ganga, brightness and devotion all around make it special.",Narendra Modi,28948,111,3846,684
7,https://twitter.com/myogiadityanath/status/1803086369280905558#m,आदरणीय प्रधानमंत्री श्री @narendramodi जी के साथ धर्म नगरी काशी में बाबा श्री विश्वनाथ जी के दर्शन-पूजन के पावन अवसर पर... https://nitter.kavin.rocks/i/broadcasts/1dRKZEEbABAxB,Yogi Adityanath,1881,11,391,103
8,https://twitter.com/narendramodi/status/1803077585632419879#m,किसान सम्मान सम्मेलन में मुझे अपार आशीर्वाद देने उमड़ी काशी की देवतुल्य जनता-जनार्दन का हृदय से बहुत-बहुत आभार!,Narendra Modi,14035,28,2224,404
9,https://twitter.com/narendramodi/status/1803077122115707095#m,काशी ने सारी दुनिया को दिखाया है कि कैसे एक हेरिटेज सिटी भी अर्बन डेवलपमेंट का नया अध्याय लिख सकती है।,Narendra Modi,4455,18,1125,173
10,https://twitter.com/narendramodi/status/1803076817777041473#m,मेरा सपना है कि दुनिया की हर डाइनिंग टेबल पर भारत का फूड प्रोडक्ट भी होना चाहिए।,Narendra Modi,7289,64,1691,391
11,https://twitter.com/narendramodi/status/1803076602936373431#m,ड्रोन दीदी की तरह अब कृषि सखी के रूप में देशभर की बहनों की नई भूमिका से उन्हें सम्मान और आय के नए अवसर सुनिश्चित होंगे।,Narendra Modi,3953,20,1070,157
12,https://twitter.com/narendramodi/status/1803076392084545881#m,"देशवासियों का विश्वास मेरी सबसे बड़ी पूंजी है, जो मुझे उनके संकल्पों को पूरा करने के लिए प्रेरित करता है।",Narendra Modi,4555,32,1223,256
13,https://twitter.com/narendramodi/status/1803075987824894074#m,"काशी के लोगों ने सिर्फ MP नहीं, बल्कि तीसरी बार PM भी चुना है। इसलिए यहां के अपने परिवारजनों को डबल बधाई!",Narendra Modi,14670,39,2644,405
14,https://twitter.com/myogiadityanath/status/1803078896805392759#m,,Yogi Adityanath,225,0,47,5
15,https://twitter.com/myogiadityanath/status/1803078892703351036#m,किसान-कल्याण हेतु निरंतर समर्पित आदरणीय प्रधानमंत्री श्री @narendramodi जी और माननीय केंद्रीय मंत्री श्री @ChouhanShivraj जी की उपस्थिति में आज वाराणसी में आयोजित 'किसान सम्मान सम्मेलन' में 'प्रधानमंत्री किसान सम्मान निधि' की 17वीं किस्त के रूप में उत्तर प्रदेश के 2 करोड़ 6 लाख…,Yogi Adityanath,2352,6,428,64
16,https://twitter.com/narendramodi/status/1803058006013227024#m,"LIVE from banks of Maa Ganga in Kashi... Praying for the peace, prosperity and well-being of 140 crore Indians. https://nitter.kavin.rocks/i/broadcasts/1vOxwjjOMDVJB",Narendra Modi,19526,150,4247,1037
